latitude,longitude,code_client,societe
37.0463675,9.6464094,CLT107544,LSAT
36.8372762,10.1268514,CLT107562,LSAT
36.8538631,10.2576743,CLT107591,LSAT
36.7316746,10.3360144,CLT107619,LSAT
36.8032813,10.1794695,CLT107766,LSAT
35.8477665,10.6096261,CLT107792,LSAT
33.7056374,8.9688181,CLT107811,LSAT
33.9225361,8.1338396,CLT107812,LSAT
34.4192355,8.7895816,CLT107813,LSAT
33.7056465,8.9681911,CLT107838,LSAT
35.7711249,10.8180563,CLT107840,LSAT
35.7601951,10.5981651,CLT107845,LSAT
36.4648323,10.7479148,CLT107846,LSAT
36.4520339,10.7339242,CLT107847,LSAT
33.9222167,8.1333236,CLT107858,LSAT
36.8447101,10.1971188,CLT107861,LSAT
35.6271369,10.7614276,CLT107878,LSAT
37.1545112,9.7959166,CLT107894,LSAT
34.9389762,9.5634613,CLT107898,LSAT
33.7060074,8.9701309,CLT107899,LSAT
36.7273955,10.3357392,CLT107919,LSAT
34.4218464,8.7684956,CLT107930,LSAT
34.5731367,9.421332,CLT107948,LSAT
34.5729264,9.4290725,CLT107949,LSAT
33.9200826,8.130193,CLT107952,LSAT
36.8838188,10.1845029,CLT107972,LSAT
36.73651,10.2086076,CLT108035,LSAT
34.4221909,8.7828245,CLT108048,LSAT
35.1678283,8.8334818,CLT108070,LSAT
36.4634904,10.7476812,CLT108101,LSAT
35.1684154,8.8319229,CLT108139,LSAT
33.8878127,10.1010709,CLT108162,LSAT
35.8315878,10.6322717,CLT108243,LSAT
35.6391664,10.9667393,CLT108246,LSAT
36.8350953,10.1501184,CLT108323,LSAT
35.848583,10.6092619,CLT108469,LSAT
36.8593291,10.2012591,CLT108601,LSAT
36.8838621,10.1845401,CLT108615,LSAT
36.7788911,10.1129529,CLT108625,LSAT
36.8325608,10.1239835,CLT108634,LSAT
36.8359561,10.1591132,CLT108719,LSAT
36.8132888,10.1831401,CLT108826,LSAT
36.7395998,10.3023801,CLT108832,LSAT
36.779945,10.9933415,CLT108875,LSAT
35.0372828,9.4840986,CLT109335,LSAT
35.6453235,10.8870294,CLT109417,LSAT
34.7363552,10.7488223,CLT109436,LSAT
35.6401093,10.9677488,CLT109461,LSAT
36.7245166,9.1883595,CLT109506,LSAT
36.8587918,10.1897135,CLT109532,LSAT
36.779608,10.9895142,CLT109563,LSAT
36.8346942,10.1175478,CLT109572,LSAT
36.9707741,11.0495336,CLT109650,LSAT
36.8489944,11.0899603,CLT109655,LSAT
36.8545742,10.2101351,CLT109675,LSAT
35.6172475,10.9916374,CLT109691,LSAT
35.2737101,9.4219643,CLT109827,LSAT
34.3171031,8.4010554,CLT109916,LSAT
33.7054377,8.9724517,CLT109962,LSAT
36.830907,9.9393868,CLT110026,LSAT
37.214747,10.1234157,CLT110069,LSAT
34.7418477,10.7667134,CLT110219,LSAT
35.8424623,10.5993461,CLT110225,LSAT
36.8419731,10.1186979,CLT110331,LSAT
35.6264882,10.7610264,CLT110421,LSAT
36.5761983,10.8598818,CLT110478,LSAT
36.8469483,11.0906135,CLT110481,LSAT
33.704098,8.9736505,CLT110578,LSAT
34.5731915,9.4235567,CLT110613,LSAT
36.8456948,10.0304354,CLT110620,LSAT
36.7808019,10.9875353,CLT110797,LSAT
36.8148903,10.1801541,CLT110800,LSAT
34.7410669,10.7531401,CLT110804,LSAT
36.8697235,10.2403221,CLT110817,LSAT
37.1528391,9.796934,CLT110823,LSAT
37.084076,9.5349425,CLT110878,LSAT
35.6352224,10.8966776,CLT110935,LSAT
35.7710964,10.8238682,CLT110936,LSAT
34.7479896,10.7465164,CLT110970,LSAT
34.7436863,10.7417217,CLT110977,LSAT
35.1676917,8.8315422,CLT111003,LSAT
33.8725414,7.8867245,CLT111011,LSAT
33.3632334,10.6025227,CLT111034,LSAT
35.2375679,9.1171212,CLT111049,LSAT
36.4491329,10.7298104,CLT111105,LSAT
35.3745304,10.937172,CLT111142,LSAT
36.8106865,10.0945412,CLT111143,LSAT
35.3745266,10.937284,CLT111144,LSAT
35.732078,10.579269,CLT111146,LSAT
35.0373454,9.491089,CLT111230,LSAT
35.8362192,10.6153754,CLT111330,LSAT
36.4582752,10.7434845,CLT111375,LSAT
36.4583423,10.7467819,CLT111378,LSAT
33.7053515,8.9701788,CLT111383,LSAT
33.9211682,8.13073,CLT111436,LSAT
33.9172184,8.1308867,CLT111515,LSAT
33.8873579,10.1030004,CLT111609,LSAT
36.4504685,10.7323443,CLT111615,LSAT
35.6752512,10.0946458,CLT111672,LSAT
35.6534602,10.8733075,CLT111752,LSAT
34.4203187,8.7886569,CLT111778,LSAT
34.420316,8.7886577,CLT111779,LSAT
36.8338759,10.3028964,CLT111854,LSAT
34.7493135,10.7195041,CLT112011,LSAT
36.3011097,10.4550909,CLT112119,LSAT
36.465541,10.8046794,CLT112144,LSAT
36.971314,11.0491644,CLT112145,LSAT
36.5731954,10.8543224,CLT112146,LSAT
36.5776274,10.8595514,CLT112147,LSAT
36.4583096,10.7435159,CLT112151,LSAT
34.7380002,10.7565071,CLT112154,LSAT
36.408055,10.1395993,CLT112162,LSAT
34.5731322,9.4236024,CLT112186,LSAT
34.7424857,10.7553814,CLT112227,LSAT
36.8092601,10.1384253,CLT112242,LSAT
36.8359561,10.1591132,CLT112247,LSAT
32.9292947,10.4501329,CLT112285,LSAT
35.7666089,10.813561,CLT112299,LSAT
36.5846784,10.8607936,CLT112307,LSAT
35.6948043,10.8368681,CLT112324,LSAT
35.6290307,10.9000771,CLT112335,LSAT
35.6277048,10.761417,CLT112343,LSAT
34.4187677,8.7909428,CLT112349,LSAT
35.0382819,9.4897494,CLT112351,LSAT
35.6442981,10.888712,CLT112355,LSAT
36.5506549,9.4471009,CLT112363,LSAT
35.6265371,10.7610699,CLT112365,LSAT
35.7485814,10.7137016,CLT112366,LSAT
37.0610332,10.1153615,CLT112368,LSAT
